Token,Symbol,Name,exch_seg
3965,REMSONSIND-EQ,REMSONSIND,NSE
1630,IONEXCHANG-EQ,IONEXCHANG,NSE
19679,GOLDIETF-EQ,GOLDIETF,NSE
2792,EASEMYTRIP-EQ,EASEMYTRIP,NSE
1185,AMBER-EQ,AMBER,NSE
13072,IIFLSEC-EQ,IIFLSEC,NSE
9111,ARVINDFASN-EQ,ARVINDFASN,NSE
19025,KIRLOSIND-EQ,KIRLOSIND,NSE
722,SBIETFPB-EQ,SBIETFPB,NSE
1565,RVHL-EQ,RVHL,NSE
2562,HUHTAMAKI-EQ,HUHTAMAKI,NSE
5782,MASPTOP50-EQ,MASPTOP50,NSE
6908,VISHNU-EQ,VISHNU,NSE
10457,ARVSMART-EQ,ARVSMART,NSE
24374,LIQUIDSHRI-EQ,LIQUIDSHRI,NSE
15032,PSUBNKBEES-EQ,PSUBNKBEES,NSE
11975,RML-EQ,RML,NSE
18783,IDFNIFTYET-EQ,IDFNIFTYET,NSE
11798,ALLSEC-EQ,ALLSEC,NSE
20322,FEDFINA-EQ,FEDFINA,NSE
7679,MONARCH-EQ,MONARCH,NSE
1134,APOLLO-EQ,APOLLO,NSE
7145,ANANDRATHI-EQ,ANANDRATHI,NSE
3321,SPMLINFRA-EQ,SPMLINFRA,NSE
15044,DELTACORP-EQ,DELTACORP,NSE
11483,LT-EQ,LT,NSE
17438,OIL-EQ,OIL,NSE
6803,STEELCAS-EQ,STEELCAS,NSE
19234,LAURUSLABS-EQ,LAURUSLABS,NSE
16807,LOTUSEYE-EQ,LOTUSEYE,NSE
15266,JKIL-EQ,JKIL,NSE
9087,PIXTRANS-EQ,PIXTRANS,NSE
4717,GAIL-EQ,GAIL,NSE
4235,WENDT-EQ,WENDT,NSE
10580,TCI-EQ,TCI,NSE
480,BIRLACORPN-EQ,BIRLACORPN,NSE
9342,PNC-EQ,PNC,NSE
6446,CONSUMIETF-EQ,CONSUMIETF,NSE
4179,SUNDRMBRAK-EQ,SUNDRMBRAK,NSE
14592,FORTIS-EQ,FORTIS,NSE
17613,SENSEXADD-EQ,SENSEXADD,NSE
18417,RISHABH-EQ,RISHABH,NSE
9576,MAHESHWARI-EQ,MAHESHWARI,NSE
3327,SUDARSCHEM-EQ,SUDARSCHEM,NSE
760,CGPOWER-EQ,CGPOWER,NSE
1614,FAIRCHEMOR-EQ,FAIRCHEMOR,NSE
7227,MAPMYINDIA-EQ,MAPMYINDIA,NSE
380,BBTC-EQ,BBTC,NSE
13658,GEECEE-EQ,GEECEE,NSE
7353,SETFNN50-EQ,SETFNN50,NSE
5097,ZOMATO-EQ,ZOMATO,NSE
8182,MOMOMENTUM-EQ,MOMOMENTUM,NSE
19943,DEEPAKNTR-EQ,DEEPAKNTR,NSE
25178,TDPOWERSYS-EQ,TDPOWERSYS,NSE
11439,BANKBEES-EQ,BANKBEES,NSE
16822,IKIO-EQ,IKIO,NSE
9756,EMUDHRA-EQ,EMUDHRA,NSE
13332,SOLARINDS-EQ,SOLARINDS,NSE
2439,NKIND-EQ,NKIND,NSE
385,MAHLOG-EQ,MAHLOG,NSE
3405,TATACHEM-EQ,TATACHEM,NSE
13359,KFINTECH-EQ,KFINTECH,NSE
10243,SYNGENE-EQ,SYNGENE,NSE
22415,LOVABLE-EQ,LOVABLE,NSE
3506,TITAN-EQ,TITAN,NSE
28913,ROSSELLIND-EQ,ROSSELLIND,NSE
11220,VARDHACRLC-EQ,VARDHACRLC,NSE
8424,VIPULLTD-EQ,VIPULLTD,NSE
11301,LUXIND-EQ,LUXIND,NSE
18284,HNGSNGBEES-EQ,HNGSNGBEES,NSE
9049,ROTO-EQ,ROTO,NSE
15034,BAJAJELEC-EQ,BAJAJELEC,NSE
9288,KRITIKA-EQ,KRITIKA,NSE
9931,VIKASLIFE-EQ,VIKASLIFE,NSE
1675,ITI-EQ,ITI,NSE
3834,BHARATRAS-EQ,BHARATRAS,NSE
3813,ARIHANTCAP-EQ,ARIHANTCAP,NSE
11618,ASTRAMICRO-EQ,ASTRAMICRO,NSE
19731,GPPL-EQ,GPPL,NSE
7508,ZENTEC-EQ,ZENTEC,NSE
8479,TVSMOTOR-EQ,TVSMOTOR,NSE
1814,KPIL-EQ,KPIL,NSE
19585,BSE-EQ,BSE,NSE
7553,NRBBEARING-EQ,NRBBEARING,NSE
20531,BAJEL-EQ,BAJEL,NSE
16751,RANEENGINE-EQ,RANEENGINE,NSE
13276,LANDMARK-EQ,LANDMARK,NSE
3018,SAURASHCEM-EQ,SAURASHCEM,NSE
10181,BALKRISHNA-EQ,BALKRISHNA,NSE
166,ANDHRAPAP-EQ,ANDHRAPAP,NSE
436,IFGLEXPOR-EQ,IFGLEXPOR,NSE
2268,MOTOGENFIN-EQ,MOTOGENFIN,NSE
24595,RUSHIL-EQ,RUSHIL,NSE
1394,HINDUNILVR-EQ,HINDUNILVR,NSE
2912,RIIL-EQ,RIIL,NSE
6994,BSOFT-EQ,BSOFT,NSE
715,HEUBACHIND-EQ,HEUBACHIND,NSE
22592,HEALTHADD-EQ,HEALTHADD,NSE
14154,UNOMINDA-EQ,UNOMINDA,NSE
22930,PLATIND-EQ,PLATIND,NSE
1997,LICHSGFIN-EQ,LICHSGFIN,NSE
21399,GANGESSECU-EQ,GANGESSECU,NSE
2649,PCBL-EQ,PCBL,NSE
3237,JTEKTINDIA-EQ,JTEKTINDIA,NSE
12842,G1NSETEST-EQ,G1NSETEST,NSE
20152,ASKAUTOLTD-EQ,ASKAUTOLTD,NSE
9939,ONEPOINT-EQ,ONEPOINT,NSE
16123,BHARATWIRE-EQ,BHARATWIRE,NSE
17105,SUMICHEM-EQ,SUMICHEM,NSE
14255,REDINGTON-EQ,REDINGTON,NSE
5606,INTLCONV-EQ,INTLCONV,NSE
1328,MARINE-EQ,MARINE,NSE
3761,RITES-EQ,RITES,NSE
20203,URJA-EQ,URJA,NSE
11377,MAHABANK-EQ,MAHABANK,NSE
3579,UNICHEMLAB-EQ,UNICHEMLAB,NSE
14480,GOKULAGRO-EQ,GOKULAGRO,NSE
21001,PSB-EQ,PSB,NSE
422,BHARATFORG-EQ,BHARATFORG,NSE
14712,HGS-EQ,HGS,NSE
27037,TBZ-EQ,TBZ,NSE
14106,AUTOIND-EQ,AUTOIND,NSE
24217,IVZINNIFTY-EQ,IVZINNIFTY,NSE
2636,DIVOPPBEES-EQ,DIVOPPBEES,NSE
15283,KNRCON-EQ,KNRCON,NSE
3456,TATAMOTORS-EQ,TATAMOTORS,NSE
1805,KABRAEXTRU-EQ,KABRAEXTRU,NSE
740,SBIETFIT-EQ,SBIETFIT,NSE
16921,20MICRONS-EQ,20MICRONS,NSE
5501,YUKEN-EQ,YUKEN,NSE
383,BEL-EQ,BEL,NSE
2106,MANGLMCEM-EQ,MANGLMCEM,NSE
9668,HIKAL-EQ,HIKAL,NSE
7456,MIDQ50ADD-EQ,MIDQ50ADD,NSE
2614,HERANBA-EQ,HERANBA,NSE
20778,JAMNAAUTO-EQ,JAMNAAUTO,NSE
13414,RSYSTEMS-EQ,RSYSTEMS,NSE
8124,AJANTPHARM-EQ,AJANTPHARM,NSE
5851,BANKNIFTY1-EQ,BANKNIFTY1,NSE
1782,KANPRPLA-EQ,KANPRPLA,NSE
9921,ALANKIT-EQ,ALANKIT,NSE
9874,GOLDTECH-EQ,GOLDTECH,NSE
5186,STYLAMIND-EQ,STYLAMIND,NSE
15295,VIRINCHI-EQ,VIRINCHI,NSE
27297,RTNINDIA-EQ,RTNINDIA,NSE
11394,ZOTA-EQ,ZOTA,NSE
14908,KDDL-EQ,KDDL,NSE
1127,GHCL-EQ,GHCL,NSE
21154,ERIS-EQ,ERIS,NSE
6018,ABSLAMC-EQ,ABSLAMC,NSE
20261,IREDA-EQ,IREDA,NSE
21238,AUBANK-EQ,AUBANK,NSE
13710,FIEMIND-EQ,FIEMIND,NSE
19867,AMNPLST-EQ,AMNPLST,NSE
17022,MAWANASUG-EQ,MAWANASUG,NSE
14977,POWERGRID-EQ,POWERGRID,NSE
14747,011NSETEST-EQ,011NSETEST,NSE
8614,INDOBORAX-EQ,INDOBORAX,NSE
23407,LIQUIDADD-EQ,LIQUIDADD,NSE
1512,INDHOTEL-EQ,INDHOTEL,NSE
1628,BECTORFOOD-EQ,BECTORFOOD,NSE
21484,STEL-EQ,STEL,NSE
10618,SADBHIN-EQ,SADBHIN,NSE
14518,ABSLLIQUID-EQ,ABSLLIQUID,NSE
15061,PSUBANK-EQ,PSUBANK,NSE
17263,ARMANFIN-EQ,ARMANFIN,NSE
701,HEMIPROP-EQ,HEMIPROP,NSE
10310,AURUM-EQ,AURUM,NSE
11591,HDFCNIFTY-EQ,HDFCNIFTY,NSE
3807,VINEETLAB-EQ,VINEETLAB,NSE
13776,GESHIP-EQ,GESHIP,NSE
14761,NELCAST-EQ,NELCAST,NSE
14329,SMSPHARMA-EQ,SMSPHARMA,NSE
17903,ABBOTINDIA-EQ,ABBOTINDIA,NSE
18226,MANINFRA-EQ,MANINFRA,NSE
21334,JYOTICNC-EQ,JYOTICNC,NSE
8954,TTML-EQ,TTML,NSE
10417,DYCL-EQ,DYCL,NSE
14858,GOLD1-EQ,GOLD1,NSE
2475,ONGC-EQ,ONGC,NSE
10993,INDORAMA-EQ,INDORAMA,NSE
17752,SHILPAMED-EQ,SHILPAMED,NSE
5054,GRINFRA-EQ,GRINFRA,NSE
3048,SCI-EQ,SCI,NSE
2029,IRFC-EQ,IRFC,NSE
25017,BODALCHEM-EQ,BODALCHEM,NSE
757,CRISIL-EQ,CRISIL,NSE
13816,LTFOODS-EQ,LTFOODS,NSE
31138,COMPUSOFT-EQ,COMPUSOFT,NSE
18564,LTTS-EQ,LTTS,NSE
16683,DIGISPICE-EQ,DIGISPICE,NSE
15179,ECLERX-EQ,ECLERX,NSE
22239,EBBETF0431-EQ,EBBETF0431,NSE
8840,USHAMART-EQ,USHAMART,NSE
2107,STOVEKRAFT-EQ,STOVEKRAFT,NSE
3509,TNPETRO-EQ,TNPETRO,NSE
3432,TATACONSUM-EQ,TATACONSUM,NSE
8736,PNBGILTS-EQ,PNBGILTS,NSE
2783,JUBLINGREA-EQ,JUBLINGREA,NSE
23181,MOSMALL250-EQ,MOSMALL250,NSE
805,DCM-EQ,DCM,NSE
17795,TREL-EQ,TREL,NSE
1797,AWHCL-EQ,AWHCL,NSE
11351,PETRONET-EQ,PETRONET,NSE
4838,LIQUIDIETF-EQ,LIQUIDIETF,NSE
11778,GOKEX-EQ,GOKEX,NSE
399,NIACL-EQ,NIACL,NSE
2307,MUNJALSHOW-EQ,MUNJALSHOW,NSE
